dialogue_id,service,turn_index,speaker,utterance,act,slot,value
1_00000,Restaurants_2,0,USER,"Hi, could you get me a restaurant booking on the 8th please?",INFORM,date,the 8th
1_00000,Restaurants_2,0,USER,"Hi, could you get me a restaurant booking on the 8th please?",INFORM_INTENT,intent,ReserveRestaurant
1_00000,Restaurants_2,0,USER,"Hi, could you get me a restaurant booking on the 8th please?",,date,
1_00000,Restaurants_2,2,USER,Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12?,INFORM,restaurant_name,P.f. Chang's
1_00000,Restaurants_2,2,USER,Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12?,INFORM,time,afternoon 12
1_00000,Restaurants_2,2,USER,Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12?,INFORM,location,Corte Madera
1_00000,Restaurants_2,2,USER,Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12?,,restaurant_name,
1_00000,Restaurants_2,2,USER,Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12?,,time,
1_00000,Restaurants_2,2,USER,Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12?,,location,
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,CONFIRM,restaurant_name,P.f. Chang's
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,CONFIRM,location,Corte Madera
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,CONFIRM,time,12 pm
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,CONFIRM,date,March 8th
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,CONFIRM,number_of_seats,2
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,,restaurant_name,
1_00000,Restaurants_2,3,SYSTEM,Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,,location,
